Username,Categories,Subscribers,Country,Visits,Likes,Continent,CPM,clusters
TEDx,Unknown,39100000,United States,160.0,3,North America,0.08075071138771221,3
GaaneSuneAnsune,Music and Dance,39100000,India,28800.0,211,Asia,0.08144647218505441,3
shfa-1,Daily Vlogs,39100000,France,5300000.0,57300,Europe,0.21218809012525375,4
vladvaniki1,"Movies, Comedy",38700000,Unknown,890600.0,3400,Unknown,0.10076512215339828,3
TheEllenShow,Unknown,38300000,United States,26000.0,433,North America,0.0790555063410113,3
DaddyYankee,Music and Dance,38300000,Colombia,82800.0,6500,South America,0.08124315085928373,3
LikeNastya_ESP,Unknown,38100000,Unknown,403800.0,1800,Unknown,0.08744744760425303,3
one31official,Unknown,38100000,Thailand,4800.0,122,Asia,0.07792866355109689,3
ABPNEWS,Unknown,38100000,India,2400.0,59,Asia,0.07786384959760852,3
MariaClaraeJP,"Movies, Animation",37700000,Unknown,1700000.0,10800,Unknown,0.11769856601113511,3
YouTube,Unknown,37500000,United States,101200.0,3400,North America,0.07887063684248315,3
PowerKidstv,"Movies, Animation",37400000,India,41700.0,0,Asia,0.07670650614520035,3
Jkk_Entertainment,Unknown,37300000,India,2300000.0,20100,Asia,0.13180184388645577,3
UltraBollywood,Unknown,37300000,India,24300.0,185,Asia,0.07603358807250228,3
SaregamaMusic,Movies,37000000,India,27300.0,703,Asia,0.07529326907035487,3
RicisOfficial1795,"Music and Dance, Movies",36900000,Indonesia,343800.0,27500,Asia,0.08618718156244085,3
beterbocuk,Unknown,36800000,India,1000000.0,54100,Asia,0.10495295119738397,3
IndiaTV,News and Politics,36700000,India,14300.0,255,Asia,0.07404285704495167,3
LaGranjaDeZenon,"Music and Dance, Animation",36600000,Unknown,599800.0,5200,Unknown,0.08807086920481175,3
tseriesoldisgold,Music and Dance,36500000,India,41100.0,1200,Asia,0.07421172189623325,3
Ozuna,Music and Dance,36300000,United States,22700.0,2400,North America,0.07336585252824573,3
TotalGaming093,"Movies, Video Games",36300000,India,1500000.0,129400,Asia,0.12586452362459127,3
GenevievesPlayhouse,Toys,35700000,Unknown,965500.0,824,Unknown,0.09329811817843602,3
TechnoGamerzOfficial,Unknown,35600000,India,6200000.0,341800,Asia,0.2634468379794921,4
RyansWorld,"Video Games, Toys",35500000,Unknown,326500.0,2000,Unknown,0.07801626209948502,3
markiplier,"Animation, Video Games",35500000,United States,2100000.0,126500,North America,0.13704616243171092,3
tseriesapnapunjab,Music and Dance,35000000,India,23300.0,601,Asia,0.06929176475925043,3
JingleToons,Unknown,35000000,India,111400.0,641,Asia,0.07134631625426704,3
thedonato,Unknown,34700000,Mexico,710700.0,42400,North America,0.09036501054115618,3
YOLOAVENTURAS,"Movies, Animation",34600000,Mexico,1100000.0,73600,North America,0.10358094628905613,3
GeetMP3,Music and Dance,34500000,India,0.0,0,Asia,0.06719056974459725,3
Rajshri,Unknown,34200000,India,13700.0,119,Asia,0.06664208795175218,3
starplus,Unknown,34200000,India,10500.0,267,Asia,0.06658881220424387,3
jbalvin,"Animation, Video Games",34200000,Colombia,16900.0,1600,South America,0.06692807798497477,3
SSSniperWolf,"Animation, Comedy",34200000,United States,1200000.0,34600,North America,0.09915631718763257,3
Ch3Thailand,Unknown,34000000,Thailand,34500.0,442,Asia,0.0665825607764557,3
vegetta777,"Movies, Animation",34000000,Mexico,249900.0,19400,North America,0.07430014881632281,3
NoCopyrightSounds,Music and Dance,33600000,United States,191100.0,6900,North America,0.06996821074479959,3
KHANDESHIMOVIES,Unknown,33600000,India,758300.0,6200,Asia,0.08305890841921819,3
babybus,"Animation, Toys",33300000,Unknown,267300.0,623,Unknown,0.06995950303833326,3
DisneyMusicVEVO,"Music and Dance, Movies",33200000,United States,276900.0,3200,North America,0.07025620622809364,3
KarolG,Music and Dance,33000000,Colombia,74000.0,2700,South America,0.06487678204283037,3
WowKidz1,"Animation, Comedy",33000000,Unknown,17200.0,88,Unknown,0.06318270895312939,3
PANDABOI,Unknown,33000000,India,2500000.0,66600,Asia,0.1304239581225646,3
erosentertainment,Movies,33000000,India,7100.0,93,Asia,0.06294853951791345,3
gmanetwork,Unknown,32900000,Philippines,2600.0,83,Asia,0.06254776430235823,3
LucasandMarcus,"Animation, Comedy",32800000,United States,706100.0,23300,North America,0.08193024822301562,3
AboFlah,"Animation, Video Games",32700000,Iraq,3300000.0,382000,Asia,0.19320166569849032,4
MRINDIANHACKER,Unknown,32600000,India,6500000.0,617400,Asia,0.30095414629688855,4
FrostDiamond,"Movies, Animation",32600000,Indonesia,316200.0,13200,Asia,0.07083055825702146,3
MrBean,"Movies, Comedy",32400000,India,204400.0,1800,Asia,0.06601259586577811,3
WorldwideRecordsBhojpuri,Music and Dance,32200000,India,44200.0,1600,Asia,0.061669052079185945,3
rezendeevil,Movies,32200000,Brazil,413400.0,15600,South America,0.07225509859081385,3
SMTOWN,Music and Dance,32200000,United States,132300.0,12700,North America,0.06530360357420256,3
PeppaPigOfficial,Toys,32200000,Unknown,110200.0,508,Unknown,0.06304793580011617,3
zeenews,News and Politics,32100000,India,14700.0,231,Asia,0.06049273865765066,3
fedevigevani,"Animation, Comedy",32000000,Mexico,7700000.0,412200,North America,0.2977786644387732,4
dream,"Animation, Video Games",31900000,United States,3300000.0,309200,North America,0.18044410184780268,4
GENIALBrightSideSpanish,Animation,31800000,Mexico,15500.0,524,North America,0.05966911400766273,3
luisfonsi,Unknown,31600000,United States,20800.0,1400,North America,0.05932812171608718,3
zhong,Unknown,31400000,United States,2900000.0,118300,North America,0.14239687028829898,3
fallontonight,Unknown,31200000,United States,263100.0,3900,North America,0.06414136636881645,3
dianaandromaesp331,"Animation, Toys",31100000,Unknown,403500.0,714,Unknown,0.06665664430940742,3
ShortsBreak_Official,Unknown,31000000,India,8600000.0,503400,Asia,0.32879051361212464,4
ImagineDragons,Music and Dance,31000000,United States,77100.0,10700,North America,0.060197822582224274,3
vladnikihindi,Unknown,30900000,Unknown,897100.0,3400,Unknown,0.07793003739989166,3
AttaHalilintar,"Music and Dance, Movies",30600000,Indonesia,155300.0,7600,Asia,0.060394788165186127,3
enaldinho,Movies,30600000,Brazil,1800000.0,63400,South America,0.10661505394591703,3
toyoraljanahtv,Music and Dance,30600000,Unknown,131100.0,0,Unknown,0.05874628318179742,3
jacksepticeye,"Animation, Comedy",30400000,United States,1600000.0,83400,North America,0.10423164304969029,3
TrapNation,Music and Dance,30400000,United States,47800.0,1600,North America,0.056448254345371346,3
LittleAngel,"Animation, Toys",30400000,Unknown,394800.0,209,Unknown,0.06431930750151753,3
TalkingTom,"Movies, Animation",30400000,United States,201300.0,798,North America,0.05990345035866039,3
spinninrecords,Music and Dance,30200000,United States,31900.0,1200,North America,0.05543195308369613,3
HUMTV,Unknown,30200000,Pakistan,1100.0,7,Asia,0.05454524544250012,3
Dushyant_kukreja,Unknown,30000000,India,5900000.0,231000,Asia,0.22413857541006077,4
KLBROBijuRithvik1,Unknown,29900000,India,1600000.0,49800,Asia,0.09795816564301052,3
ultrarecords,Music and Dance,29800000,United States,15800.0,607,North America,0.05379403826798688,3
zamzamelectronicstradingllc,Unknown,29700000,India,268700.0,18400,Asia,0.06192259527834528,3
AlanChikinChow,"Music and Dance, Comedy",29700000,India,3600000.0,106500,Asia,0.15198040258731538,3
infobellstamilrhymes,Education,29500000,Unknown,1200000.0,17700,Unknown,0.08289134385055708,3
Maluma_Official,Music and Dance,29400000,Colombia,226400.0,8500,South America,0.058640502189819144,3
infobellstelugurhymes,Education,29400000,Unknown,271400.0,5600,Unknown,0.059272728103440406,3
