Username,Categories,Subscribers,Country,Visits,Likes,Continent,Cluster
TuzelityOfficial,,23300000,India,3200000.0,96600,Asia,2
whitehillmusic,Music and Dance,23300000,India,15300.0,659,Asia,2
VaniaManiaKids,"Animation, Toys",23300000,Unknown,325000.0,599,Unknown,1
TechnicalGuruji,,23300000,India,169500.0,7600,Asia,2
CuteAnimalsTV.,,23200000,Unknown,3400.0,9,Unknown,4
BabyBusES,"Movies, Animation",23200000,Unknown,80000.0,332,Unknown,4
DrossRotzank,,23100000,Mexico,1700000.0,105900,North America,2
capitanyolotroll,"Animation, Comedy",23100000,Mexico,3200000.0,189300,North America,1
LikeNastya_PRT,,23000000,Unknown,441000.0,2500,Unknown,4
ZachChoi,Daily Vlogs,23000000,United States,142200.0,3000,North America,1
GoldminesCineplex,,23000000,India,11800.0,129,Asia,2
DangalTVChannel,,23000000,India,91900.0,2100,Asia,2
AmiRodrigueZZ,"Animation, Comedy",22900000,Colombia,4300000.0,294400,South America,5
Yoeslan,,22900000,India,2400000.0,49700,Asia,2
sia,"Music and Dance, Movies",22900000,United States,0.0,0,North America,4
vladandnikiarab2,Animation,22800000,Unknown,982900.0,4800,Unknown,1
invictorgs3,"Animation, Video Games",22800000,Mexico,806400.0,25500,North America,1
Kidibli,"Animation, Toys",22800000,Unknown,138500.0,2400,Unknown,1
StokesTwins,"Video Games, Comedy",22700000,United States,11700000.0,235000,North America,5
vladandnikispain,,22700000,Unknown,1000000.0,3000,Unknown,4
mmoshaya,,22700000,Saudi Arabia,1100000.0,14100,Asia,2
SSundee,"Animation, Video Games",22700000,United States,1700000.0,59800,North America,1
souravjoshivlogs7028,Daily Vlogs,22700000,India,5600000.0,382300,Asia,5
THECHAINSMOKERS,"Music and Dance, Movies",22700000,United States,38900.0,1800,North America,4
ZachKing,"Movies, Comedy",22600000,United States,4900000.0,238500,North America,5
BenAzelart,"Video Games, Comedy",22500000,United States,3700000.0,44900,North America,4
DUDUeCAROL,,22500000,Brazil,964300.0,29200,South America,2
fgteev,"Movies, Video Games",22500000,United States,826800.0,10300,North America,4
VillageCookingChannel,,22500000,India,21500000.0,321500,Asia,5
dednahype,,22400000,United States,598300.0,10400,North America,4
disneyla,"Movies, Animation",22400000,Unknown,89100.0,105,Unknown,4
smilefamily363,"Animation, Toys",22400000,Unknown,7600.0,45,Unknown,1
NetflixIndiaOfficial,,22300000,India,61400.0,1400,Asia,2
BeatboxJCOP,,22300000,India,1600000.0,0,Asia,2
LIVCrime,,22300000,India,19400.0,249,Asia,2
rotanamusic,Music and Dance,22300000,Saudi Arabia,2100000.0,12600,Asia,2
RAFAELUIZOFICIAL,"Movies, Animation",22100000,Brazil,671700.0,30500,South America,2
NatGeo,,22100000,United States,42200.0,871,North America,4
williesalim,"Movies, Comedy",21900000,Indonesia,396200.0,0,Asia,2
SMOL_official,,21900000,India,114500.0,2600,Asia,2
alfredolarin,,21900000,El Salvador,12900000.0,707600,North America,5
TlnovelasOficial,"Music and Dance, Animation",21900000,Mexico,5500.0,152,North America,2
royaltyfam,Comedy,21900000,United States,4700000.0,67000,North America,1
EvaBravoPlay,"Animation, Toys",21800000,Unknown,332800.0,1300,Unknown,1
infinite,"Video Games, Comedy",21700000,United States,884800.0,45700,North America,4
MartaAndRustam,,21700000,India,4100000.0,65900,Asia,2
khangsresearchcentre1685,Education,21700000,India,7300000.0,501700,Asia,5
gmapublicaffairs,News and Politics,21700000,Philippines,4300.0,68,Asia,2
vladandnikidn,"Music and Dance, Movies",21700000,Unknown,529400.0,1300,Unknown,4
beckyg,Music and Dance,21500000,United States,0.0,0,North America,4
Priyal_Kukreja,Daily Vlogs,21500000,India,7700000.0,224600,Asia,5
BaimPaula,"Music and Dance, Movies",21300000,Indonesia,352500.0,12600,Asia,2
BraveWilderness,,21100000,United States,635400.0,14400,North America,4
buzzfeedtasty,Food and Drink,21100000,United States,84300.0,3200,North America,4
fatosdesconhecidos,Science and Technology,21100000,Brazil,92900.0,10200,South America,2
lyricalemonade,"Music and Dance, Animation",21100000,United States,2800000.0,127300,North America,4
MrVivekBindra,Education,21100000,India,56900.0,3100,Asia,2
VijayTelevision,,21100000,India,99500.0,1500,Asia,2
kurzgesagt,Education,21100000,United States,4900000.0,253500,North America,5
romeo,Music and Dance,21100000,United States,3200000.0,53900,North America,4
corbuzier,,21000000,Indonesia,2100000.0,44400,Asia,2
NBA,Sports,20900000,United States,46400.0,1000,North America,4
JasonDerulo,Music and Dance,20800000,United States,80500.0,3100,North America,4
KiddiestvHindi,Education,20800000,Unknown,17700.0,66,Unknown,1
avicii,"Music and Dance, Movies",20700000,United States,0.0,0,North America,4
5MinuteCraftsDIY,Music and Dance,20700000,India,14600.0,110,Asia,2
NinjaKidz,Video Games,20700000,United States,289800.0,6600,North America,4
7clouds,Music and Dance,20700000,United States,92100.0,1200,North America,4
LinkinPark,Music and Dance,20700000,United States,73700.0,7100,North America,4
Mnet,,20700000,United States,34400.0,3500,North America,4
BabyBusID,"Movies, Comedy",20600000,Unknown,285400.0,744,Unknown,4
#NAME?,Education,20600000,Unknown,513400.0,3100,Unknown,1
JoseComilaoTotoy,Animation,20600000,Unknown,199000.0,5000,Unknown,1
jakepaul,Fitness,20500000,United States,172400.0,7500,North America,1
somoynews360,Daily Vlogs,20500000,Bangladesh,7400.0,196,Asia,2
SlivkiShow,Video Games,20500000,Russia,2500000.0,154200,Europe,2
Miawaug,Video Games,20500000,Indonesia,748400.0,29300,Asia,2
EmiwayBantai,Music and Dance,20500000,India,892800.0,95600,Asia,2
PragatiVermaaShorts,,20500000,India,2800000.0,134300,Asia,2
Cookieswirlc,Video Games,20500000,United States,147000.0,2000,North America,4
gottalentglobal,,20400000,United States,222500.0,1200,North America,4
triggeredinsaan,Comedy,20400000,India,11100000.0,1400000,Asia,5
SonyAATH,"Travel, Shows",20400000,Bangladesh,89500.0,782,Asia,2
IShowSpeed,"Video Games, Comedy",20300000,United States,2500000.0,101600,North America,4
RobinHoodGamer1,"Animation, Video Games",20300000,Brazil,465800.0,17000,South America,1
5MinuteCraftsPLAY,Movies,20300000,India,14300.0,106,Asia,2
marvel,"Movies, Animation",20300000,United States,94400.0,5200,North America,4
rkddigital,,20200000,India,694400.0,6300,Asia,2
greengoldtv,,20100000,Unknown,42000.0,930,Unknown,4
gordonramsay,"Food and Drink, Salud y autoayuda",20100000,United States,114900.0,2800,North America,4
BuzzFeedVideo,Food and Drink,20100000,United States,15500.0,377,North America,1
unboxtherapy,Design/Art,20100000,United States,178500.0,7300,North America,1
gusttavolimaoficial,Music and Dance,20100000,Brazil,131000.0,6000,South America,2
AuthenticGames,"Movies, Video Games",20100000,Brazil,20100.0,2200,South America,2
bobbyprankster,,20100000,India,2900000.0,223500,Asia,2
pencilmation,"Animation, Comedy",20100000,United States,179700.0,1500,North America,1
PinkPanther,"Movies, Animation",20100000,Unknown,274200.0,1700,Unknown,4
ASGamingsahil,,20100000,India,227400.0,22500,Asia,2
React,Comedy,20100000,United States,133300.0,5400,North America,1
PTXofficial,Music and Dance,20100000,United States,0.0,0,North America,4
VEVO,Music and Dance,20100000,United States,9500.0,519,North America,4
goldminesgreatindiancomedy2048,,20000000,India,5800.0,39,Asia,2
BGT,"Music and Dance, Movies",19900000,United Kingdom,40800.0,576,Europe,4
sctv_,"Music and Dance, Movies",19900000,Indonesia,10900.0,225,Asia,2
ClashOfClans,"Movies, Animation",19900000,United States,1600000.0,30100,North America,4
HaerteTest,,19900000,India,18600.0,76,Asia,2
Vsauce,Science and Technology,19900000,United States,4500000.0,449000,North America,5
TroomTroom_Es,,19800000,Mexico,76000.0,1300,North America,2
etvteluguindia,,19800000,India,11300.0,220,Asia,2
tabii.urdu,,19800000,Pakistan,17900.0,485,Asia,2
fifa,Sports,19700000,United States,43200.0,2100,North America,4
CraftyPanda,"Movies, Comedy",19700000,India,18000.0,136,Asia,2
DLSNews,News and Politics,19700000,India,123000.0,3800,Asia,2
WowKidzAction,,19600000,Unknown,21300.0,90,Unknown,4
JakeFellman,,19500000,United States,471300.0,21600,North America,4
Slick_Slime_Sam_Spanish,,19500000,Mexico,100500.0,2200,North America,2
Sidemen,"Video Games, Comedy",19500000,United Kingdom,9200000.0,284800,Europe,5
Mashaurso,,19500000,Unknown,202400.0,3000,Unknown,4
